level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2494	168	-1	
2	1	1	0	0	0	0	40	2471	123	-1	
3	1	1	1	0	0	0	40	2471	123	-1	
4	1	1	1	1	0	0	40	2471	123	-1	
5	1	1	1	1	1	0	40	102	123	47	ot
5	1	1	1	1	2	127	66	226	86	93	Ante,
5	1	1	1	1	3	388	82	73	76	92	p.
5	1	1	1	1	4	500	58	155	75	93	797
5	1	1	1	1	5	692	72	126	74	90	[Pg.
5	1	1	1	1	6	851	71	119	56	96	797
5	1	1	1	1	7	993	64	265	61	96	includes
5	1	1	1	1	8	1278	62	273	76	96	portions
5	1	1	1	1	9	1576	55	71	77	96	of
5	1	1	1	1	10	1659	61	149	54	96	Doc.
5	1	1	1	1	11	1840	56	117	56	96	658
5	1	1	1	1	12	1981	48	121	60	96	and
5	1	1	1	1	13	2123	53	148	54	96	Doc.
5	1	1	1	1	14	2302	43	169	68	86	659).
