level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3858	326	-1	
2	1	1	0	0	0	25	34	3808	278	-1	
3	1	1	1	0	0	25	34	3808	278	-1	
4	1	1	1	1	0	25	34	3808	133	-1	
5	1	1	1	1	1	25	36	94	75	42	52
5	1	1	1	1	2	181	58	171	86	96	See
5	1	1	1	1	3	413	54	435	113	95	telegram
5	1	1	1	1	4	902	55	176	85	96	No.
5	1	1	1	1	5	1150	52	143	104	96	59,
5	1	1	1	1	6	1358	52	225	110	96	May
5	1	1	1	1	7	1642	49	87	105	96	2,
5	1	1	1	1	8	1791	74	274	78	96	noon,
5	1	1	1	1	9	2132	44	236	88	96	from
5	1	1	1	1	10	2427	42	149	88	96	the
5	1	1	1	1	11	2636	40	422	88	95	Minister
5	1	1	1	1	12	3118	38	92	87	96	in
5	1	1	1	1	13	3270	34	563	107	96	Guatemala,
4	1	1	1	2	0	26	228	307	84	-1	
5	1	1	1	2	1	26	228	307	84	96	supra.
