level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	688	-1	
2	1	1	0	0	0	3291	98	560	129	-1	
3	1	1	1	0	0	3291	98	560	129	-1	
4	1	1	1	1	0	3291	98	560	129	-1	
5	1	1	1	1	1	3291	98	170	103	90	W.
5	1	1	1	1	2	3479	110	95	89	92	R
5	1	1	1	1	3	3599	113	252	114	17	Castir
2	1	2	0	0	0	0	272	1373	358	-1	
3	1	2	1	0	0	14	272	1360	354	-1	
4	1	2	1	1	0	23	272	836	152	-1	
5	1	2	1	1	1	23	272	296	121	63	28971
5	1	2	1	1	2	370	312	108	91	61	U.
5	1	2	1	1	3	525	320	85	90	90	S.
5	1	2	1	1	4	654	329	205	95	95	562.
4	1	2	1	2	0	0	415	1373	215	-1	
5	1	2	1	2	1	0	415	107	116	96	59
5	1	2	1	2	2	135	458	396	124	56	Foreign
5	1	2	1	2	3	564	481	474	107	96	Relations
5	1	2	1	2	4	1116	505	257	125	84	1923,
2	1	3	0	0	0	889	559	173	53	-1	
3	1	3	1	0	0	474	559	588	53	-1	
4	1	3	1	1	0	889	559	173	53	-1	
5	1	3	1	1	1	889	559	147	53	17	ene.
5	1	3	1	1	2	1043	576	19	32	37	9
2	1	4	0	0	0	1415	526	656	139	-1	
3	1	4	1	0	0	1415	526	664	139	-1	
4	1	4	1	1	0	1415	526	656	139	-1	
5	1	4	1	1	1	1415	526	176	108	91	vol.
5	1	4	1	1	2	1668	588	73	56	11	1b.
5	1	4	1	1	3	1753	546	110	119	11	2.
5	1	4	1	1	4	1862	546	209	119	89	267.
2	1	5	0	0	0	1074	596	269	26	-1	
3	1	5	1	0	0	1074	596	269	26	-1	
4	1	5	1	1	0	1074	596	269	26	-1	
5	1	5	1	1	1	1074	596	269	26	95	 
2	1	6	0	0	0	1386	612	296	28	-1	
3	1	6	1	0	0	1386	612	296	28	-1	
4	1	6	1	1	0	1386	612	296	28	-1	
5	1	6	1	1	1	1386	612	296	28	95	 
