level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	842	-1	
2	1	1	0	0	0	22	180	3841	229	-1	
3	1	1	1	0	0	115	180	3748	185	-1	
4	1	1	1	1	0	3546	180	317	121	-1	
5	1	1	1	1	1	3546	180	317	121	0	Kerioce
4	1	1	1	2	0	22	181	777	228	-1	
5	1	1	1	2	1	22	185	53	220	51	*
5	1	1	1	2	2	115	181	490	228	96	Quotation
5	1	1	1	2	3	637	268	162	121	96	not
2	1	2	0	0	0	2	342	1417	400	-1	
3	1	2	1	0	0	17	342	1380	397	-1	
4	1	2	1	1	0	17	342	667	183	-1	
5	1	2	1	1	1	17	342	265	129	58	“Not
5	1	2	1	1	2	306	396	378	129	83	printed,
4	1	2	1	2	0	2	493	1417	249	-1	
5	1	2	1	2	1	2	497	47	76	89	>
5	1	2	1	2	2	84	493	490	169	96	Quotation
5	1	2	1	2	3	606	601	162	75	68	NOt
5	1	2	1	2	4	793	622	626	120	41	paraphrased.
2	1	3	0	0	0	823	311	627	121	-1	
3	1	3	1	0	0	823	311	627	121	-1	
4	1	3	1	1	0	823	311	627	121	-1	
5	1	3	1	1	1	823	311	627	121	23	Paraphraseqd.
