level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2814	168	-1	
2	1	1	0	0	0	24	36	2766	112	-1	
3	1	1	1	0	0	24	36	2766	112	-1	
4	1	1	1	1	0	24	36	2766	112	-1	
5	1	1	1	1	1	24	36	41	66	94	2
5	1	1	1	1	2	94	53	290	79	95	British
5	1	1	1	1	3	419	51	161	79	96	and
5	1	1	1	1	4	608	53	342	95	96	Foreign
5	1	1	1	1	5	984	51	214	74	96	State
5	1	1	1	1	6	1228	50	329	94	96	Papers,
5	1	1	1	1	7	1602	44	229	89	96	1922,
5	1	1	1	1	8	1864	39	160	78	96	vol.
5	1	1	1	1	9	2060	83	131	47	72	cx,
5	1	1	1	1	10	2226	60	126	76	95	pp.
5	1	1	1	1	11	2392	38	179	88	95	612,
5	1	1	1	1	12	2610	36	180	74	96	621.
