level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2558	164	-1	
2	1	1	0	0	0	24	25	2508	114	-1	
3	1	1	1	0	0	24	25	2508	114	-1	
4	1	1	1	1	0	24	25	2508	114	-1	
5	1	1	1	1	1	24	25	235	89	95	wish
5	1	1	1	1	2	291	42	93	71	95	to
5	1	1	1	1	3	423	25	290	89	96	make.
5	1	1	1	1	4	754	30	71	84	92	J.
5	1	1	1	1	5	868	30	109	84	92	H.
5	1	1	1	1	6	1024	29	85	85	92	S.
5	1	1	1	1	7	1157	25	487	114	95	[Marginal
5	1	1	1	1	8	1681	42	208	71	96	note
5	1	1	1	1	9	1929	53	117	60	96	on
5	1	1	1	1	10	2085	25	447	114	27	original.
5	1	1	1	1	11	2480	20	41	123	27	]
