level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3292	348	-1	
2	1	1	0	0	0	24	54	1295	111	-1	
3	1	1	1	0	0	24	54	1295	111	-1	
4	1	1	1	1	0	24	54	1295	111	-1	
5	1	1	1	1	1	24	56	94	75	96	66
5	1	1	1	1	2	151	75	190	90	85	File
5	1	1	1	1	3	375	67	527	94	95	translation
5	1	1	1	1	4	936	54	383	95	96	revised.
2	1	2	0	0	0	27	182	3242	166	-1	
3	1	2	1	0	0	27	182	3242	166	-1	
4	1	2	1	1	0	27	182	3242	166	-1	
5	1	2	1	1	1	27	218	94	75	75	62
5	1	2	1	1	2	153	238	392	110	94	Foreign
5	1	2	1	1	3	594	228	456	104	92	Relations
5	1	2	1	1	4	1091	294	19	32	49	,.1901,
5	1	2	1	1	5	1439	157	479	191	93	Appendix
5	1	2	1	1	6	1980	157	399	191	91	(Affairs
5	1	2	1	1	7	2378	157	144	191	93	in
5	1	2	1	1	8	2521	182	748	143	48	China),.p.312.
