level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3868	806	-1	
2	1	1	0	0	0	553	0	394	42	-1	
3	1	1	1	0	0	553	0	394	42	-1	
4	1	1	1	1	0	553	0	394	42	-1	
5	1	1	1	1	1	553	0	28	17	57	“
5	1	1	1	1	2	609	0	338	42	13	SMLLIUC
5	1	1	1	1	3	920	0	13	46	18	HE
2	1	2	0	0	0	992	0	2035	209	-1	
3	1	2	1	0	0	992	0	2035	209	-1	
4	1	2	1	1	0	992	0	2035	209	-1	
5	1	2	1	1	1	992	0	59	49	21	‘+
5	1	2	1	1	2	1090	0	465	92	51	[dpparent
5	1	2	1	1	3	1592	13	476	128	92	omission]
5	1	2	1	1	4	2110	64	418	95	96	repeated
5	1	2	1	1	5	2566	86	91	75	96	to
5	1	2	1	1	6	2693	78	334	131	96	Tokyo.
2	1	3	0	0	0	9	411	3819	277	-1	
3	1	3	1	0	0	9	411	3831	262	-1	
4	1	3	1	1	0	3582	411	246	111	-1	
5	1	3	1	1	1	3582	411	246	111	68	Maver
4	1	3	1	2	0	9	513	714	175	-1	
5	1	3	1	2	1	134	547	186	96	72	Not
5	1	3	1	2	2	350	566	373	122	96	printed.
