level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3880	612	-1	
2	1	1	0	0	0	3543	94	321	86	-1	
3	1	1	1	0	0	3543	94	321	86	-1	
4	1	1	1	1	0	3543	94	321	86	-1	
5	1	1	1	1	1	3543	94	93	77	66	H.
5	1	1	1	1	2	3653	99	211	81	34	Vaiom
2	1	2	0	0	0	16	242	2122	288	-1	
3	1	2	1	0	0	16	242	2122	276	-1	
4	1	2	1	1	0	22	242	2116	198	-1	
5	1	2	1	1	1	22	242	82	68	95	28
5	1	2	1	1	2	138	272	147	78	96	See
5	1	2	1	1	3	314	282	345	105	90	Foreign
5	1	2	1	1	4	688	298	432	106	96	Relations,
5	1	2	1	1	5	1165	319	229	97	67	1922,
5	1	2	1	1	6	1430	331	158	79	0	vol..,
5	1	2	1	1	7	1624	363	195	77	81	pp.
5	1	2	1	1	8	1862	349	155	78	81	594
5	1	2	1	1	9	2049	351	89	81	92	ff.
4	1	2	1	2	0	16	384	629	146	-1	
5	1	2	1	2	1	16	384	82	68	53	“2
5	1	2	1	2	2	127	413	160	80	96	Not
5	1	2	1	2	3	315	420	330	110	95	printed.
2	1	3	0	0	0	1129	393	240	22	-1	
3	1	3	1	0	0	1129	393	240	22	-1	
4	1	3	1	1	0	1129	393	240	22	-1	
5	1	3	1	1	1	1129	393	240	22	95	 
