level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	352	-1	
2	1	1	0	0	0	27	6	3808	58	-1	
3	1	1	1	0	0	27	6	3808	58	-1	
4	1	1	1	1	0	27	6	3808	58	-1	
5	1	1	1	1	1	17	0	35	68	1	pa
2	1	2	0	0	0	26	210	2506	128	-1	
3	1	2	1	0	0	26	210	2506	128	-1	
4	1	2	1	1	0	26	210	2506	128	-1	
5	1	2	1	1	1	26	211	94	76	51	*)
5	1	2	1	1	2	152	230	189	88	96	The
5	1	2	1	1	3	381	255	248	63	96	same
5	1	2	1	1	4	664	225	436	113	96	telegram
5	1	2	1	1	5	1131	248	191	62	96	was
5	1	2	1	1	6	1362	230	196	78	96	sent
5	1	2	1	1	7	1590	229	93	76	96	to
5	1	2	1	1	8	1721	219	282	109	96	Japan
5	1	2	1	1	9	2039	240	95	60	96	as
5	1	2	1	1	10	2167	213	179	86	96	No.
5	1	2	1	1	11	2391	210	141	87	95	53.
