level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3868	688	-1	
2	1	1	0	0	0	19	183	3835	229	-1	
3	1	1	1	0	0	19	183	3837	229	-1	
4	1	1	1	1	0	3516	183	338	119	-1	
5	1	1	1	1	1	3516	183	338	119	20	Gaissirp
4	1	1	1	2	0	25	188	715	189	-1	
5	1	1	1	2	1	25	188	95	81	17	=
5	1	1	1	2	2	149	222	188	101	89	Not
5	1	1	1	2	3	362	248	378	129	73	printed,
4	1	1	1	3	0	19	343	83	69	-1	
5	1	1	1	3	1	19	343	83	69	96	98
2	1	2	0	0	0	10	379	2745	309	-1	
3	1	2	1	0	0	10	379	2745	309	-1	
4	1	2	1	1	0	10	379	2745	309	-1	
5	1	2	1	1	1	10	410	93	14	87	™
5	1	2	1	1	2	125	379	343	114	96	Adrian
5	1	2	1	1	3	502	410	423	151	91	Recinos,
5	1	2	1	1	4	972	458	584	147	96	Guatemalan
5	1	2	1	1	5	1597	522	425	122	96	Minister
5	1	2	1	1	6	2054	582	87	75	96	at
5	1	2	1	1	7	2178	578	577	110	83	Washinotar
