level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2678	4156	-1	
2	1	1	0	0	0	40	26	2226	83	-1	
3	1	1	1	0	0	40	26	2226	83	-1	
4	1	1	1	1	0	40	26	2226	83	-1	
5	1	1	1	1	1	40	29	159	57	92	1224
5	1	1	1	1	2	288	29	278	80	92	Foreign
5	1	1	1	1	3	591	26	357	72	96	Relations,
5	1	1	1	1	4	978	29	386	69	86	1958-1960,
5	1	1	1	1	5	1391	26	279	61	96	Volume
5	1	1	1	1	6	1697	28	99	70	74	II,
5	1	1	1	1	7	1822	26	444	83	96	Supplement
2	1	2	0	0	0	39	131	2601	7	-1	
3	1	2	1	0	0	39	131	2601	7	-1	
4	1	2	1	1	0	39	131	2601	7	-1	
5	1	2	1	1	1	39	131	2601	7	95	 
2	1	3	0	0	0	208	251	318	58	-1	
3	1	3	1	0	0	208	251	318	58	-1	
4	1	3	1	1	0	208	251	318	58	-1	
5	1	3	1	1	1	208	251	246	58	92	Annex
5	1	3	1	1	2	480	252	46	56	92	B
2	1	4	0	0	0	576	1376	1835	662	-1	
3	1	4	1	0	0	576	1376	1835	662	-1	
4	1	4	1	1	0	576	1376	1835	662	-1	
5	1	4	1	1	1	576	1376	1835	662	95	 
2	1	5	0	0	0	1936	2406	67	12	-1	
3	1	5	1	0	0	1936	2406	67	12	-1	
4	1	5	1	1	0	1936	2406	67	12	-1	
5	1	5	1	1	1	1936	2406	41	10	0	abre
5	1	5	1	1	2	1987	2407	15	11	9	ve
2	1	6	0	0	0	1007	2602	65	7	-1	
3	1	6	1	0	0	1007	2602	65	7	-1	
4	1	6	1	1	0	1007	2602	65	7	-1	
5	1	6	1	1	1	1007	2602	65	7	25	eee
2	1	7	0	0	0	1774	2649	112	31	-1	
3	1	7	1	0	0	1774	2649	112	31	-1	
4	1	7	1	1	0	1774	2649	112	31	-1	
5	1	7	1	1	1	1774	2650	58	30	17	WIDE
5	1	7	1	1	2	1836	2645	50	39	17	SRSA
2	1	8	0	0	0	631	2800	1750	776	-1	
3	1	8	1	0	0	631	2800	1750	776	-1	
4	1	8	1	1	0	631	2800	1750	776	-1	
5	1	8	1	1	1	631	2800	1750	776	95	 
2	1	9	0	0	0	2264	3743	82	54	-1	
3	1	9	1	0	0	2264	3743	82	54	-1	
4	1	9	1	1	0	2264	3743	82	54	-1	
5	1	9	1	1	1	2264	3743	82	54	29	Ab
