level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3858	324	-1	
2	1	1	0	0	0	25	34	3807	274	-1	
3	1	1	1	0	0	25	34	3807	274	-1	
4	1	1	1	1	0	25	34	3807	129	-1	
5	1	1	1	1	1	25	34	47	74	51	>
5	1	1	1	1	2	123	53	187	88	96	The
5	1	1	1	1	3	368	80	248	61	96	same
5	1	1	1	1	4	669	50	435	113	96	telegram
5	1	1	1	1	5	1154	76	190	60	96	was
5	1	1	1	1	6	1404	58	194	77	96	sent
5	1	1	1	1	7	1649	58	91	75	96	to
5	1	1	1	1	8	1798	46	274	87	96	Great
5	1	1	1	1	9	2122	41	345	88	96	Britain
5	1	1	1	1	10	2521	40	213	112	96	(No.
5	1	1	1	1	11	2807	38	238	112	96	173),
5	1	1	1	1	12	3104	38	461	110	96	Germany
5	1	1	1	1	13	3619	34	213	112	96	(No.
4	1	1	1	2	0	34	190	1139	118	-1	
5	1	1	1	2	1	34	196	184	112	96	81),
5	1	1	1	2	2	259	194	176	89	96	and
5	1	1	1	2	3	470	192	226	114	96	Italy
5	1	1	1	2	4	731	192	214	112	96	(No.
5	1	1	1	2	5	992	190	181	112	92	86).
