level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1914	184	-1	
2	1	1	0	0	0	33	42	1856	137	-1	
3	1	1	1	0	0	26	42	1863	137	-1	
4	1	1	1	1	0	33	42	1856	137	-1	
5	1	1	1	1	1	33	42	69	137	39	1’
5	1	1	1	1	2	143	42	256	137	96	Ante,
5	1	1	1	1	3	409	69	90	107	89	p.
5	1	1	1	1	4	570	53	178	90	93	370
5	1	1	1	1	5	791	72	142	83	27	[Pg.
5	1	1	1	1	6	970	65	136	68	96	370
5	1	1	1	1	7	1092	42	98	117	96	is
5	1	1	1	1	8	1208	69	166	77	96	part
5	1	1	1	1	9	1398	54	88	87	96	of
5	1	1	1	1	10	1492	56	169	63	92	Doc.
5	1	1	1	1	11	1698	46	191	83	87	274}.
2	1	2	0	0	0	1493	116	343	14	-1	
3	1	2	1	0	0	1493	116	343	14	-1	
4	1	2	1	1	0	1493	116	343	14	-1	
5	1	2	1	1	1	1493	116	343	14	95	 
