level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2854	350	-1	
2	1	1	0	0	0	27	65	2805	273	-1	
3	1	1	1	0	0	27	65	2781	273	-1	
4	1	1	1	1	0	27	65	905	124	-1	
5	1	1	1	1	1	24	66	93	76	96	86
5	1	1	1	1	2	151	81	371	94	96	Neither
5	1	1	1	1	3	556	65	376	124	95	printed.
4	1	1	1	2	0	32	182	2800	156	-1	
5	1	1	1	2	1	29	228	93	76	95	87
5	1	1	1	2	2	150	251	176	87	89	Wu
5	1	1	1	2	3	362	231	590	101	89	Ch’ao-ch’u,
5	1	1	1	2	4	991	220	513	118	96	prominent
5	1	1	1	2	5	1536	201	356	94	97	leader
5	1	1	1	2	6	1874	223	94	62	96	in
5	1	1	1	2	7	1999	192	149	90	96	the
5	1	1	1	2	8	2185	182	647	102	96	Kuomintang.
