level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	332	-1	
2	1	1	0	0	0	25	35	3815	282	-1	
3	1	1	1	0	0	25	35	3815	282	-1	
4	1	1	1	1	0	25	35	3815	136	-1	
5	1	1	1	1	1	25	35	94	74	89	48
5	1	1	1	1	2	170	62	263	109	96	Jorge
5	1	1	1	1	3	489	60	312	100	96	Matte,
5	1	1	1	1	4	860	53	210	89	96	who
5	1	1	1	1	5	1125	51	178	89	96	had
5	1	1	1	1	6	1359	47	508	92	95	succeeded
5	1	1	1	1	7	1921	51	166	84	93	Mr.
5	1	1	1	1	8	2147	50	431	84	91	Huneeus
5	1	1	1	1	9	2636	70	94	61	95	as
5	1	1	1	1	10	2788	41	384	89	96	Chilean
5	1	1	1	1	11	3227	42	419	84	96	Minister
5	1	1	1	1	12	3699	35	141	89	96	for
4	1	1	1	2	0	30	200	784	117	-1	
5	1	1	1	2	1	30	207	383	110	95	Foreign
5	1	1	1	2	2	440	200	374	89	92	Affairs.
