level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5100	6600	-1	
2	1	1	0	0	0	714	342	3827	726	-1	
3	1	1	1	0	0	714	342	3827	726	-1	
4	1	1	1	1	0	880	342	3495	176	-1	
5	1	1	1	1	1	880	343	1008	175	95	PAPERS
5	1	1	1	1	2	1951	343	1377	175	95	RELATING
5	1	1	1	1	3	3404	342	370	176	95	TO
5	1	1	1	1	4	3838	351	537	167	96	THE
4	1	1	1	2	0	714	616	3827	176	-1	
5	1	1	1	2	1	714	616	1199	176	89	FOREIGN
5	1	1	1	2	2	1990	616	1529	176	95	RELATIONS
5	1	1	1	2	3	3583	616	356	176	96	OF
5	1	1	1	2	4	4005	627	536	165	95	THE
4	1	1	1	3	0	1593	893	2079	175	-1	
5	1	1	1	3	1	1593	894	1033	174	20	See
5	1	1	1	3	2	2405	889	360	239	24	PE
5	1	1	1	3	3	2903	889	359	239	10	FLV
5	1	1	1	3	4	3262	889	299	239	0	ao
2	1	2	0	0	0	2168	1716	677	221	-1	
3	1	2	1	0	0	2168	1716	677	221	-1	
4	1	2	1	1	0	2168	1716	677	221	-1	
5	1	2	1	1	1	2168	1716	677	221	95	1928
2	1	3	0	0	0	1848	2739	1427	177	-1	
3	1	3	1	0	0	1848	2730	1427	186	-1	
4	1	3	1	1	0	1848	2739	1427	177	-1	
5	1	3	1	1	1	1848	2739	1250	177	95	VOLUME
5	1	3	1	1	2	3188	2740	87	176	69	I
2	1	4	0	0	0	1287	3356	2564	265	-1	
3	1	4	1	0	0	1287	3356	2564	265	-1	
4	1	4	1	1	0	1287	3356	2564	265	-1	
5	1	4	1	1	1	1287	3357	356	254	96	(IN
5	1	4	1	1	2	1734	3434	766	142	95	THREE
5	1	4	1	1	3	2601	3356	1250	265	83	VOLUMES}
2	1	5	0	0	0	1971	4530	1157	1042	-1	
3	1	5	1	0	0	1971	4530	1157	1042	-1	
4	1	5	1	1	0	1971	4530	1157	1042	-1	
5	1	5	1	1	1	1971	4530	1157	1042	95	 
2	1	6	0	0	0	1251	5831	2651	385	-1	
3	1	6	1	0	0	1251	5831	2651	385	-1	
4	1	6	1	1	0	1251	5831	2651	133	-1	
5	1	6	1	1	1	1251	5832	1554	132	95	DEPARTMENT
5	1	6	1	1	2	2867	5831	270	133	95	OF
5	1	6	1	1	3	3214	5831	688	133	93	STATE
4	1	6	1	2	0	1797	6074	1596	142	-1	
5	1	6	1	2	1	1797	6074	1596	142	93	WASHINGTON
