level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	534	-1	
2	1	1	0	0	0	3486	100	356	112	-1	
3	1	1	1	0	0	3486	100	361	112	-1	
4	1	1	1	1	0	3486	100	356	112	-1	
5	1	1	1	1	1	3486	100	356	112	11	Kertoce
2	1	2	0	0	0	3	271	2041	238	-1	
3	1	2	1	0	0	3	271	2052	238	-1	
4	1	2	1	1	0	3	271	2041	238	-1	
5	1	2	1	1	1	3	271	102	135	82	26
5	1	2	1	1	2	141	311	395	123	96	Foreign
5	1	2	1	1	3	570	332	472	105	96	Relations
5	1	2	1	1	4	1115	360	263	112	96	1925,
5	1	2	1	1	5	1421	376	178	91	95	vol.
5	1	2	1	1	6	1641	387	190	122	0	,.R.
5	1	2	1	1	7	1830	387	214	122	95	382.
2	1	3	0	0	0	474	410	596	50	-1	
3	1	3	1	0	0	474	410	596	50	-1	
4	1	3	1	1	0	474	410	596	50	-1	
5	1	3	1	1	1	474	410	596	50	7	ee)
2	1	4	0	0	0	110	396	293	27	-1	
3	1	4	1	0	0	110	396	293	27	-1	
4	1	4	1	1	0	110	396	293	27	-1	
5	1	4	1	1	1	110	396	293	27	95	 
2	1	5	0	0	0	1075	445	275	26	-1	
3	1	5	1	0	0	1075	445	275	26	-1	
4	1	5	1	1	0	1075	445	275	26	-1	
5	1	5	1	1	1	1075	445	275	26	95	 
2	1	6	0	0	0	1387	460	269	26	-1	
3	1	6	1	0	0	1387	460	269	26	-1	
4	1	6	1	1	0	1387	460	269	26	-1	
5	1	6	1	1	1	1387	460	269	26	95	 
