level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	532	-1	
2	1	1	0	0	0	38	17	3796	376	-1	
3	1	1	1	0	0	38	17	3796	376	-1	
4	1	1	1	1	0	38	17	3796	376	-1	
5	1	1	1	1	1	38	17	3796	376	95	  
2	1	2	0	0	0	1	176	3847	255	-1	
3	1	2	1	0	0	17	187	3832	244	-1	
4	1	2	1	1	0	3600	187	248	112	-1	
5	1	2	1	1	1	3600	187	248	112	34	Gisson
4	1	2	1	2	0	1	176	1404	255	-1	
5	1	2	1	2	1	1	176	101	133	62	55
5	1	2	1	2	2	146	224	458	133	96	Telegram
5	1	2	1	2	3	640	270	91	94	94	in
5	1	2	1	2	4	769	295	181	90	51	(WO
5	1	2	1	2	5	986	322	419	109	91	Sections.
