level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3426	340	-1	
2	1	1	0	0	0	24	62	3378	265	-1	
3	1	1	1	0	0	24	62	3378	265	-1	
4	1	1	1	1	0	24	62	1024	122	-1	
5	1	1	1	1	1	24	64	94	76	95	28
5	1	1	1	1	2	151	85	298	85	64	Latter
5	1	1	1	1	3	480	84	160	78	96	not
5	1	1	1	1	4	671	62	377	122	96	printed.
4	1	1	1	2	0	28	166	3374	161	-1	
5	1	1	1	2	1	28	219	94	77	96	29
5	1	1	1	2	2	160	236	138	91	94	Sir
5	1	1	1	2	3	332	231	202	90	96	Eric
5	1	1	1	2	4	572	215	600	107	95	Drummond,
5	1	1	1	2	5	1215	215	464	102	96	Secretary
5	1	1	1	2	6	1716	192	388	97	96	General
5	1	1	1	2	7	2142	189	111	90	96	of
5	1	1	1	2	8	2275	186	147	89	96	the
5	1	1	1	2	9	2460	186	362	106	96	League
5	1	1	1	2	10	2860	172	113	90	96	of
5	1	1	1	2	11	2989	166	413	92	96	Nations.
