level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3362	552	-1	
2	1	1	0	0	0	26	25	3307	258	-1	
3	1	1	1	0	0	26	25	3307	258	-1	
4	1	1	1	1	0	27	25	3306	114	-1	
5	1	1	1	1	1	27	26	135	112	95	(3)
5	1	1	1	1	2	208	30	223	83	83	Iam
5	1	1	1	1	3	472	29	460	110	96	repeating
5	1	1	1	1	4	972	53	227	86	96	your
5	1	1	1	1	5	1238	30	386	109	95	January
5	1	1	1	1	6	1667	30	79	101	95	5,
5	1	1	1	1	7	1795	29	51	83	95	2
5	1	1	1	1	8	1890	53	213	86	96	p.m.
5	1	1	1	1	9	2150	25	175	88	96	and
5	1	1	1	1	10	2363	25	175	88	95	this
5	1	1	1	1	11	2581	25	434	114	95	telegram
5	1	1	1	1	12	3053	42	93	71	95	to
5	1	1	1	1	13	3187	25	146	88	96	the
4	1	1	1	2	0	26	173	666	110	-1	
5	1	1	1	2	1	26	173	666	110	96	Department.”
2	1	2	0	0	0	2846	440	489	102	-1	
3	1	2	1	0	0	2846	440	491	102	-1	
4	1	2	1	1	0	2846	440	489	102	-1	
5	1	2	1	1	1	2846	440	489	102	24	MacMurray
