level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3856	434	-1	
2	1	1	0	0	0	2086	41	840	202	-1	
3	1	1	1	0	0	2086	41	853	202	-1	
4	1	1	1	1	0	2086	41	840	202	-1	
5	1	1	1	1	1	2086	41	598	176	96	Washington,
5	1	1	1	1	2	2730	118	196	125	96	July
2	1	2	0	0	0	20	94	3811	246	-1	
3	1	2	1	0	0	20	94	3811	246	-1	
4	1	2	1	1	0	2982	141	849	199	-1	
5	1	2	1	1	1	2982	141	132	125	91	12,
5	1	2	1	1	2	3168	161	416	140	70	1928__5
5	1	2	1	1	3	3615	218	216	122	71	p.m.
4	1	2	1	2	0	20	94	1355	231	-1	
5	1	2	1	2	1	20	94	337	115	91	474.00
5	1	2	1	2	2	390	132	81	91	91	R
5	1	2	1	2	3	505	146	371	122	89	29/126:
5	1	2	1	2	4	923	190	452	135	95	Telegram
