level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3870	324	-1	
2	1	1	0	0	0	25	38	3819	277	-1	
3	1	1	1	0	0	25	38	3819	277	-1	
4	1	1	1	1	0	25	38	3819	134	-1	
5	1	1	1	1	1	25	39	94	74	96	23
5	1	1	1	1	2	163	65	168	85	96	See
5	1	1	1	1	3	373	59	434	113	96	telegram
5	1	1	1	1	4	849	60	172	84	96	No.
5	1	1	1	1	5	1071	57	142	102	96	20,
5	1	1	1	1	6	1261	56	220	84	96	Mar.
5	1	1	1	1	7	1536	54	133	101	95	11,
5	1	1	1	1	8	1715	65	91	72	96	to
5	1	1	1	1	9	1849	47	146	89	96	the
5	1	1	1	1	10	2029	42	623	92	96	Ambassador
5	1	1	1	1	11	2692	45	92	83	96	in
5	1	1	1	1	12	2828	38	289	105	92	Chile,
5	1	1	1	1	13	3164	65	83	86	91	p.
5	1	1	1	1	14	3297	39	177	85	93	327
5	1	1	1	1	15	3521	55	144	85	92	[Pg.
5	1	1	1	1	16	3702	56	142	65	96	327
4	1	1	1	2	0	32	224	754	91	-1	
5	1	1	1	2	1	32	233	54	64	97	is
5	1	1	1	2	2	108	241	162	74	96	part
5	1	1	1	2	3	294	227	81	86	96	of
5	1	1	1	2	4	389	231	171	62	80	Doc.
5	1	1	1	2	5	596	224	190	79	77	182}.
2	1	2	0	0	0	389	295	343	15	-1	
3	1	2	1	0	0	389	295	343	15	-1	
4	1	2	1	1	0	389	295	343	15	-1	
5	1	2	1	1	1	389	295	343	15	95	 
