level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3854	434	-1	
2	1	1	0	0	0	25	25	3802	304	-1	
3	1	1	1	0	0	25	25	3805	304	-1	
4	1	1	1	1	0	1898	25	1929	304	-1	
5	1	1	1	1	1	1898	25	631	172	88	Washington,
5	1	1	1	1	2	2575	95	362	134	96	August
5	1	1	1	1	3	2969	137	145	116	95	30,
5	1	1	1	1	4	3166	158	403	124	25	1928]
5	1	1	1	1	5	3613	205	214	124	69	p.m,
4	1	1	1	2	0	25	104	1208	211	-1	
5	1	1	1	2	1	25	104	328	114	92	714.15
5	1	1	1	2	2	372	136	357	136	79	15/800:
5	1	1	1	2	3	776	181	457	134	96	Telegram
