level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	686	-1	
2	1	1	0	0	0	23	88	3829	342	-1	
3	1	1	1	0	0	23	88	3829	328	-1	
4	1	1	1	1	0	3098	88	754	131	-1	
5	1	1	1	1	1	3098	88	269	115	62	Roserr
5	1	1	1	1	2	3391	109	77	89	59	R
5	1	1	1	1	3	3498	116	73	86	91	P
5	1	1	1	1	4	3572	170	280	49	92	ATTERSON
4	1	1	1	2	0	23	262	694	168	-1	
5	1	1	1	2	1	23	262	94	78	49	#2
5	1	1	1	2	2	148	291	188	95	85	Not
5	1	1	1	2	3	363	303	354	127	96	printed.
2	1	2	0	0	0	14	417	2981	269	-1	
3	1	2	1	0	0	14	417	2981	269	-1	
4	1	2	1	1	0	14	417	2981	269	-1	
5	1	2	1	1	1	14	417	94	79	33	+!
5	1	2	1	1	2	142	448	143	90	95	Of
5	1	2	1	1	3	301	458	235	119	88	Aug.
5	1	2	1	1	4	580	473	146	111	86	24,
5	1	2	1	1	5	779	484	261	118	93	1921;
5	1	2	1	1	6	1077	503	395	126	27	Foreien
5	1	2	1	1	7	1506	528	498	130	91	Kelations,
5	1	2	1	1	8	2057	559	258	117	92	1921,
5	1	2	1	1	9	2359	581	413	105	59	vol...
5	1	2	1	1	10	2717	524	54	162	42	5
5	1	2	1	1	11	2814	603	181	83	75	974
