level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3860	328	-1	
2	1	1	0	0	0	39	36	3796	276	-1	
3	1	1	1	0	0	39	36	3796	276	-1	
4	1	1	1	1	0	39	36	3796	132	-1	
5	1	1	1	1	1	25	36	94	75	69	13
5	1	1	1	1	2	158	54	377	114	95	Malloy,
5	1	1	1	1	3	587	56	414	102	96	Treaties,
5	1	1	1	1	4	1050	50	521	105	59	910-1923,
5	1	1	1	1	5	1615	46	181	90	91	vol.
5	1	1	1	1	6	1845	98	74	55	86	m,
5	1	1	1	1	7	1964	74	84	85	93	p.
5	1	1	1	1	8	2098	45	275	105	96	2930;
5	1	1	1	1	9	2425	70	151	61	96	see
5	1	1	1	1	10	2622	40	194	89	95	also
5	1	1	1	1	11	2856	43	394	109	93	Foreign
5	1	1	1	1	12	3296	37	470	88	68	Relations
5	1	1	1	1	13	3754	32	71	140	68	,
4	1	1	1	2	0	42	193	1725	119	-1	
5	1	1	1	2	1	26	202	276	104	93	1910,
5	1	1	1	2	2	339	227	148	85	83	pp.
5	1	1	1	2	3	530	198	303	86	77	21-22
5	1	1	1	2	4	877	270	19	33	77	,
5	1	1	1	2	5	938	197	112	86	74	38
5	1	1	1	2	6	1087	196	174	84	74	41,
5	1	1	1	2	7	1313	193	454	107	7	49-52.
2	1	2	0	0	0	2858	130	258	14	-1	
3	1	2	1	0	0	2858	130	258	14	-1	
4	1	2	1	1	0	2858	130	258	14	-1	
5	1	2	1	1	1	2858	130	258	14	95	 
