level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	834	-1	
2	1	1	0	0	0	60	29	3763	650	-1	
3	1	1	1	0	0	60	29	3763	650	-1	
4	1	1	1	1	0	60	29	2683	180	-1	
5	1	1	1	1	1	60	29	2683	180	95	 
4	1	1	1	2	0	60	209	3763	280	-1	
5	1	1	1	2	1	60	209	3763	280	95	  
4	1	1	1	3	0	1087	489	2736	190	-1	
5	1	1	1	3	1	1087	489	2736	190	95	 
2	1	2	0	0	0	0	355	91	85	-1	
3	1	2	1	0	0	0	355	91	85	-1	
4	1	2	1	1	0	0	355	91	85	-1	
5	1	2	1	1	1	0	355	91	85	85	12
2	1	3	0	0	0	24	202	683	264	-1	
3	1	3	1	0	0	24	202	686	264	-1	
4	1	3	1	1	0	24	202	683	264	-1	
5	1	3	1	1	1	24	202	92	84	95	12
5	1	3	1	1	2	24	265	92	21	53	2
5	1	3	1	1	3	143	241	183	113	42	\°t
5	1	3	1	1	4	325	237	382	229	80	Printed
