level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2706	684	-1	
2	1	1	0	0	0	25	25	429	75	-1	
3	1	1	1	0	0	25	25	429	75	-1	
4	1	1	1	1	0	25	25	429	75	-1	
5	1	1	1	1	1	25	25	429	75	93	793.00/95
2	1	2	0	0	0	24	275	527	68	-1	
3	1	2	1	0	0	24	275	527	68	-1	
4	1	2	1	1	0	24	275	527	68	-1	
5	1	2	1	1	1	24	275	362	68	95	[Document
5	1	2	1	1	2	410	275	141	68	96	651]
2	1	3	0	0	0	27	501	2653	158	-1	
3	1	3	1	0	0	27	501	2653	158	-1	
4	1	3	1	1	0	27	501	2653	158	-1	
5	1	3	1	1	1	27	547	187	86	95	The
5	1	3	1	1	2	246	552	468	106	96	Japanese
5	1	3	1	1	3	747	547	452	112	96	Embassy
5	1	3	1	1	4	1232	563	87	70	96	to
5	1	3	1	1	5	1358	547	150	86	95	the
5	1	3	1	1	6	1541	552	604	106	95	Department
5	1	3	1	1	7	2174	546	111	112	96	of
5	1	3	1	1	8	2308	501	372	132	66	State24
