level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3124	2830	-1	
2	1	1	0	0	0	26	25	3074	119	-1	
3	1	1	1	0	0	26	25	3074	119	-1	
4	1	1	1	1	0	26	25	3074	119	-1	
5	1	1	1	1	1	26	25	1301	119	95	AGRICULTURE
5	1	1	1	1	2	1372	25	373	117	95	AND
5	1	1	1	1	3	1804	25	1296	119	94	IMMIGRATION
2	1	2	0	0	0	46	522	2803	2284	-1	
3	1	2	1	0	0	46	522	2803	2284	-1	
4	1	2	1	1	0	46	522	2803	115	-1	
5	1	2	1	1	1	46	523	674	114	96	Departmental
5	1	2	1	1	2	753	523	286	88	96	Order
5	1	2	1	1	3	1068	528	171	84	92	No.
5	1	2	1	1	4	1309	527	183	83	91	2—
5	1	2	1	1	5	1553	522	379	89	95	Official
5	1	2	1	1	6	1965	527	372	84	95	Gazette
5	1	2	1	1	7	2370	528	173	84	95	No.
5	1	2	1	1	8	2581	527	268	85	95	2992.
4	1	2	1	2	0	360	695	2489	85	-1	
5	1	2	1	2	1	360	695	44	32	69	“
5	1	2	1	2	2	872	695	44	32	0	c
5	1	2	1	2	3	1134	695	44	32	0	 —€
5	1	2	1	2	4	1311	696	181	83	0	5
5	1	2	1	2	5	1720	695	44	32	46	*
5	1	2	1	2	6	2128	695	44	32	69	“
5	1	2	1	2	7	2436	695	44	32	87	“
5	1	2	1	2	8	2582	695	267	85	89	3084.
4	1	2	1	3	0	360	865	2489	85	-1	
5	1	2	1	3	1	360	865	44	32	65	“
5	1	2	1	3	2	872	865	44	32	24	“
5	1	2	1	3	3	1134	865	44	32	47	€
5	1	2	1	3	4	1285	865	239	84	70	13—
5	1	2	1	3	5	1720	865	44	32	61	*
5	1	2	1	3	6	2128	865	44	32	69	“
5	1	2	1	3	7	2436	865	44	32	74	“
5	1	2	1	3	8	2582	865	267	85	88	3124.
4	1	2	1	4	0	360	1033	2489	85	-1	
5	1	2	1	4	1	360	1033	44	32	65	“
5	1	2	1	4	2	872	1033	44	32	7	“
5	1	2	1	4	3	1134	1033	44	32	36	€
5	1	2	1	4	4	1279	1033	245	84	56	20—
5	1	2	1	4	5	1720	1033	44	32	52	*
