level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3364	404	-1	
2	1	1	0	0	0	354	59	941	172	-1	
3	1	1	1	0	0	354	59	941	172	-1	
4	1	1	1	1	0	354	59	941	172	-1	
5	1	1	1	1	1	354	118	378	113	91	artment
5	1	1	1	1	2	763	59	532	137	95	informed.”
2	1	2	0	0	0	20	160	3328	99	-1	
3	1	2	1	0	0	20	160	3328	99	-1	
4	1	2	1	1	0	20	160	325	99	-1	
5	1	2	1	1	1	20	170	85	83	94	4.
5	1	2	1	1	2	141	160	204	99	96	Dep
4	1	2	1	2	0	3083	167	265	91	-1	
5	1	2	1	2	1	3083	167	265	91	86	Maver
