level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	806	-1	
2	1	1	0	0	0	29	18	829	115	-1	
3	1	1	1	0	0	29	18	829	115	-1	
4	1	1	1	1	0	29	18	829	115	-1	
5	1	1	1	1	1	29	19	287	86	96	Yours
5	1	1	1	1	2	352	44	222	87	96	very
5	1	1	1	1	3	607	18	251	115	96	truly,
2	1	2	0	0	0	3405	308	434	101	-1	
3	1	2	1	0	0	3405	308	437	101	-1	
4	1	2	1	1	0	3405	308	434	101	-1	
5	1	2	1	1	1	3405	308	100	84	66	A.
5	1	2	1	1	2	3525	309	55	84	96	J
5	1	2	1	1	3	3586	352	253	57	90	OHNSTON
2	1	3	0	0	0	307	468	591	5	-1	
3	1	3	1	0	0	307	468	591	5	-1	
4	1	3	1	1	0	307	468	591	5	-1	
5	1	3	1	1	1	307	468	591	5	95	 
2	1	4	0	0	0	29	465	96	20	-1	
3	1	4	1	0	0	29	465	96	20	-1	
4	1	4	1	1	0	29	465	96	20	-1	
5	1	4	1	1	1	29	465	96	20	44	-—
2	1	5	0	0	0	1023	472	591	5	-1	
3	1	5	1	0	0	1023	472	591	5	-1	
4	1	5	1	1	0	1023	472	591	5	-1	
5	1	5	1	1	1	1023	472	591	5	95	 
2	1	6	0	0	0	1739	476	949	7	-1	
3	1	6	1	0	0	1739	476	949	7	-1	
4	1	6	1	1	0	1739	476	949	7	-1	
5	1	6	1	1	1	1739	476	949	7	95	 
2	1	7	0	0	0	2097	478	591	5	-1	
3	1	7	1	0	0	2097	478	591	5	-1	
4	1	7	1	1	0	2097	478	591	5	-1	
5	1	7	1	1	1	2097	478	591	5	95	 
2	1	8	0	0	0	2813	482	591	5	-1	
3	1	8	1	0	0	2813	482	591	5	-1	
4	1	8	1	1	0	2813	482	591	5	-1	
5	1	8	1	1	1	2813	482	591	5	95	 
2	1	9	0	0	0	24	634	673	138	-1	
3	1	9	1	0	0	24	634	673	138	-1	
4	1	9	1	1	0	24	634	673	138	-1	
5	1	9	1	1	1	24	634	47	74	65	+
5	1	9	1	1	2	106	662	182	84	95	Not
5	1	9	1	1	3	322	660	375	112	96	printed.
