level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2852	184	-1	
2	1	1	0	0	0	10	42	2817	137	-1	
3	1	1	1	0	0	10	42	2817	137	-1	
4	1	1	1	1	0	10	42	2817	137	-1	
5	1	1	1	1	1	10	42	101	133	46	Le
5	1	1	1	1	2	143	63	255	111	96	Ante,
5	1	1	1	1	3	402	79	123	100	92	p.
5	1	1	1	1	4	570	59	176	89	90	368
5	1	1	1	1	5	791	78	141	83	35	[Pg.
5	1	1	1	1	6	970	74	135	67	96	368
5	1	1	1	1	7	1134	68	306	70	96	includes
5	1	1	1	1	8	1457	68	319	84	96	portions
5	1	1	1	1	9	1805	59	88	87	97	of
5	1	1	1	1	10	1897	62	170	62	96	Doc.
5	1	1	1	1	11	2104	56	134	65	96	272
5	1	1	1	1	12	2267	51	142	69	96	and
5	1	1	1	1	13	2408	42	207	95	92	Doc.
5	1	1	1	1	14	2614	42	207	95	81	273).
