level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3854	434	-1	
2	1	1	0	0	0	258	25	3570	114	-1	
3	1	1	1	0	0	258	25	3570	114	-1	
4	1	1	1	1	0	258	25	3570	114	-1	
5	1	1	1	1	1	258	25	368	114	96	Peking,
5	1	1	1	1	2	668	25	509	88	96	December
5	1	1	1	1	3	1212	29	84	102	93	9,
5	1	1	1	1	4	1345	29	421	84	87	1924—8
5	1	1	1	1	5	1804	53	213	86	96	p.m.
5	1	1	1	1	6	2065	25	496	104	96	[Received
5	1	1	1	1	7	2598	25	509	88	93	December
5	1	1	1	1	8	3142	29	402	85	90	9—8:50
5	1	1	1	1	9	3584	25	244	104	86	a.m.
5	1	1	1	1	10	3771	21	62	122	69	|
2	1	2	0	0	0	25	295	1154	114	-1	
3	1	2	1	0	0	25	295	1154	114	-1	
4	1	2	1	1	0	25	295	1154	114	-1	
5	1	2	1	1	1	25	299	648	85	90	861.77/3753:
5	1	2	1	1	2	714	295	465	114	96	Telegram
