level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1358	452	-1	
2	1	1	0	0	0	19	16	1313	249	-1	
3	1	1	1	0	0	19	16	1313	237	-1	
4	1	1	1	1	0	19	16	1301	119	-1	
5	1	1	1	1	1	19	46	173	85	96	For
5	1	1	1	1	2	225	37	147	89	96	the
5	1	1	1	1	3	415	34	462	101	96	Secretary
5	1	1	1	1	4	914	16	113	90	96	of
5	1	1	1	1	5	1052	16	268	87	96	State:
4	1	1	1	2	0	792	154	540	111	-1	
5	1	1	1	2	1	792	164	266	101	68	Francis
5	1	1	1	2	2	1080	154	252	103	32	Wiaurre
2	1	2	0	0	0	378	308	958	102	-1	
3	1	2	1	0	0	378	308	958	102	-1	
4	1	2	1	1	0	378	308	958	102	-1	
5	1	2	1	1	1	378	322	456	87	96	Assistant
5	1	2	1	1	2	866	308	470	102	96	Secretary
