level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3880	472	-1	
2	1	1	0	0	0	3643	92	217	98	-1	
3	1	1	1	0	0	3643	92	217	98	-1	
4	1	1	1	1	0	3643	92	217	98	-1	
5	1	1	1	1	1	3643	92	217	98	71	Wane
2	1	2	0	0	0	19	245	2097	195	-1	
3	1	2	1	0	0	19	245	2097	195	-1	
4	1	2	1	1	0	19	245	2097	195	-1	
5	1	2	1	1	1	19	245	83	67	89	48
5	1	2	1	1	2	135	274	147	78	96	See
5	1	2	1	1	3	311	283	345	106	94	Foreign
5	1	2	1	1	4	685	299	432	106	96	Relations,
5	1	2	1	1	5	1163	320	228	96	93	1924,
5	1	2	1	1	6	1426	331	159	79	36	vol.
5	1	2	1	1	7	1621	380	34	48	0	.,
5	1	2	1	1	8	1689	363	128	77	92	pp.
5	1	2	1	1	9	1858	349	154	78	92	320
5	1	2	1	1	10	2046	350	70	80	95	ff
2	1	3	0	0	0	1662	417	473	31	-1	
3	1	3	1	0	0	1662	417	473	31	-1	
4	1	3	1	1	0	1662	417	473	31	-1	
5	1	3	1	1	1	1662	417	78	15	59	mia
5	1	3	1	1	2	1977	418	41	30	41	eT.
5	1	3	1	1	3	2121	418	14	14	75	°
2	1	4	0	0	0	311	359	228	21	-1	
3	1	4	1	0	0	311	359	228	21	-1	
4	1	4	1	1	0	311	359	228	21	-1	
5	1	4	1	1	1	311	359	228	21	95	 
2	1	5	0	0	0	601	372	497	32	-1	
3	1	5	1	0	0	601	372	497	32	-1	
4	1	5	1	1	0	601	372	497	32	-1	
5	1	5	1	1	1	601	372	497	32	95	 
2	1	6	0	0	0	1126	394	240	22	-1	
3	1	6	1	0	0	1126	394	240	22	-1	
4	1	6	1	1	0	1126	394	240	22	-1	
5	1	6	1	1	1	1126	394	240	22	95	 
2	1	7	0	0	0	1399	406	235	21	-1	
3	1	7	1	0	0	1399	406	235	21	-1	
4	1	7	1	1	0	1399	406	235	21	-1	
5	1	7	1	1	1	1399	406	235	21	95	 
