level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3828	188	-1	
2	1	1	0	0	0	26	38	3777	126	-1	
3	1	1	1	0	0	26	38	3777	126	-1	
4	1	1	1	1	0	26	38	3777	126	-1	
5	1	1	1	1	1	26	39	93	74	96	28
5	1	1	1	1	2	153	59	358	89	95	Printed
5	1	1	1	1	3	545	63	94	83	96	in
5	1	1	1	1	4	671	57	109	88	91	El
5	1	1	1	1	5	806	56	461	88	91	Arbitrate
5	1	1	1	1	6	1306	53	111	89	93	de
5	1	1	1	1	7	1458	57	288	83	89	Tacna
5	1	1	1	1	8	1772	79	48	85	89	y
5	1	1	1	1	9	1830	53	338	111	96	Arica,
5	1	1	1	1	10	2209	63	251	72	96	tomo
5	1	1	1	1	11	2501	43	435	115	95	segundo,
5	1	1	1	1	12	2976	69	147	87	95	pp.
5	1	1	1	1	13	3170	43	177	85	95	756
5	1	1	1	1	14	3384	38	175	89	95	and
5	1	1	1	1	15	3600	40	203	85	96	762.
