level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	530	-1	
2	1	1	0	0	0	18	145	3824	224	-1	
3	1	1	1	0	0	18	145	3830	216	-1	
4	1	1	1	1	0	3000	145	842	192	-1	
5	1	1	1	1	1	3000	145	131	115	84	W.
5	1	1	1	1	2	3117	162	112	111	67	L.
5	1	1	1	1	3	3250	175	390	136	0	Mckexon
5	1	1	1	1	4	3656	223	186	114	87	Kune
4	1	1	1	2	0	18	150	897	219	-1	
5	1	1	1	2	1	18	150	94	83	86	2
5	1	1	1	2	2	140	186	176	104	63	Nei
5	1	1	1	2	3	326	210	187	102	96	ther
5	1	1	1	2	4	537	240	378	129	90	Printed.
