level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3864	302	-1	
2	1	1	0	0	0	26	25	3812	253	-1	
3	1	1	1	0	0	26	25	3812	253	-1	
4	1	1	1	1	0	26	25	3812	134	-1	
5	1	1	1	1	1	26	25	93	74	68	44
5	1	1	1	1	2	161	46	219	87	49	Ibid.
5	1	1	1	1	3	447	120	49	32	83	,
5	1	1	1	1	4	519	75	83	84	83	p.
5	1	1	1	1	5	660	48	213	104	95	465;
5	1	1	1	1	6	934	74	150	60	96	see
5	1	1	1	1	7	1134	45	498	114	96	paragraph
5	1	1	1	1	8	1684	45	112	89	93	of
5	1	1	1	1	9	1835	46	710	106	92	aide-mémoire,
5	1	1	1	1	10	2598	45	524	114	95	beginning:
5	1	1	1	1	11	3184	47	136	87	96	“2.
5	1	1	1	1	12	3380	45	188	89	96	The
5	1	1	1	1	13	3619	45	219	89	96	total
4	1	1	1	2	0	32	191	286	87	-1	
5	1	1	1	2	1	32	191	286	87	34	sum.”
