level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3880	686	-1	
2	1	1	0	0	0	25	24	555	100	-1	
3	1	1	1	0	0	25	24	555	100	-1	
4	1	1	1	1	0	25	24	555	100	-1	
5	1	1	1	1	1	25	28	307	96	93	Accept
5	1	1	1	1	2	368	24	212	91	68	[etc.
5	1	1	1	1	3	534	20	36	108	68	]
2	1	2	0	0	0	3270	258	580	92	-1	
3	1	2	1	0	0	3270	258	585	92	-1	
4	1	2	1	1	0	3270	258	580	92	-1	
5	1	2	1	1	1	3270	258	198	91	0	Frank
5	1	2	1	1	2	3455	258	107	91	91	B.
5	1	2	1	1	3	3543	258	307	92	16	Kettoce
2	1	3	0	0	0	24	564	2202	98	-1	
3	1	3	1	0	0	24	564	2202	98	-1	
4	1	3	1	1	0	24	564	2202	98	-1	
5	1	3	1	1	1	24	564	82	65	75	1’
5	1	3	1	1	2	134	584	187	77	96	This
5	1	3	1	1	3	354	583	401	78	96	reference
5	1	3	1	1	4	788	588	67	73	96	is
5	1	3	1	1	5	887	598	79	63	96	to
5	1	3	1	1	6	999	584	128	77	96	the
5	1	3	1	1	7	1160	584	150	77	96	last
5	1	3	1	1	8	1342	598	367	63	96	sentence
5	1	3	1	1	9	1744	583	86	78	96	of
5	1	3	1	1	10	1859	584	128	77	96	the
5	1	3	1	1	11	2020	598	206	64	96	note.
