level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	958	-1	
2	1	1	0	0	0	20	57	3814	307	-1	
3	1	1	1	0	0	20	57	3816	300	-1	
4	1	1	1	1	0	20	57	588	115	-1	
5	1	1	1	1	1	20	71	36	85	86	I
5	1	1	1	1	2	90	66	232	88	93	have
5	1	1	1	1	3	366	57	242	115	88	[etc.
5	1	1	1	1	4	557	53	43	125	89	|
4	1	1	1	2	0	3061	257	773	107	-1	
5	1	1	1	2	1	3061	271	261	86	39	Asert
5	1	1	1	2	2	3326	261	104	103	67	H.
5	1	1	1	2	3	3459	261	72	87	54	W
5	1	1	1	2	4	3530	257	304	101	23	asupurn
2	1	2	0	0	0	31	684	1405	265	-1	
3	1	2	1	0	0	31	684	1405	265	-1	
4	1	2	1	1	0	31	684	722	128	-1	
5	1	2	1	1	1	31	684	94	78	86	69
5	1	2	1	1	2	153	705	192	85	96	Not
5	1	2	1	1	3	376	691	377	121	95	printed.
4	1	2	1	2	0	35	841	1401	108	-1	
5	1	2	1	2	1	35	841	94	77	95	61
5	1	2	1	2	2	166	861	172	87	95	See
5	1	2	1	2	3	373	843	718	103	95	memorandum,
5	1	2	1	2	4	1127	863	309	86	95	supra.
