level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3876	362	-1	
2	1	1	0	0	0	800	68	560	112	-1	
3	1	1	1	0	0	800	68	560	112	-1	
4	1	1	1	1	0	800	68	560	112	-1	
5	1	1	1	1	1	800	96	109	84	91	ief
5	1	1	1	1	2	941	68	419	102	96	informed.
2	1	2	0	0	0	21	107	3835	136	-1	
3	1	2	1	0	0	21	107	3835	127	-1	
4	1	2	1	1	0	21	107	777	126	-1	
5	1	2	1	1	1	21	128	534	105	96	Commander
5	1	2	1	1	2	584	122	84	73	96	in
5	1	2	1	1	3	700	107	98	80	96	ch
4	1	2	1	2	0	3426	140	430	103	-1	
5	1	2	1	2	1	3426	140	430	103	28	MacMorray
