level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3866	800	-1	
2	1	1	0	0	0	29	25	505	110	-1	
3	1	1	1	0	0	29	25	505	110	-1	
4	1	1	1	1	0	29	25	505	110	-1	
5	1	1	1	1	1	29	27	35	83	86	I
5	1	1	1	1	2	102	52	148	59	92	am
5	1	1	1	1	3	292	25	242	110	91	[etc.
5	1	1	1	1	4	481	20	40	119	81	|
2	1	2	0	0	0	3171	297	669	84	-1	
3	1	2	1	0	0	3171	297	669	84	-1	
4	1	2	1	1	0	3171	297	669	84	-1	
5	1	2	1	1	1	3171	297	226	83	55	Frank
5	1	2	1	1	2	3413	297	92	84	84	B.
5	1	2	1	1	3	3523	297	317	84	0	Kettoce
2	1	3	0	0	0	26	641	720	134	-1	
3	1	3	1	0	0	26	641	720	134	-1	
4	1	3	1	1	0	26	641	720	134	-1	
5	1	3	1	1	1	26	641	93	75	85	13
5	1	3	1	1	2	149	665	189	85	85	Not
5	1	3	1	1	3	370	661	376	114	96	printed.
