level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3854	434	-1	
2	1	1	0	0	0	250	25	3578	114	-1	
3	1	1	1	0	0	250	25	3578	114	-1	
4	1	1	1	1	0	250	25	3578	114	-1	
5	1	1	1	1	1	250	25	368	114	96	Peking,
5	1	1	1	1	2	664	25	527	114	96	September
5	1	1	1	1	3	1228	29	80	102	93	3,
5	1	1	1	1	4	1359	29	636	85	84	1926—noon.
5	1	1	1	1	5	2043	25	498	104	95	[Received
5	1	1	1	1	6	2580	25	527	114	91	September
5	1	1	1	1	7	3144	29	398	85	91	3—6:22
5	1	1	1	1	8	3584	25	244	104	29	a.m.
5	1	1	1	1	9	3773	21	42	122	29	]
2	1	2	0	0	0	25	295	1512	114	-1	
3	1	2	1	0	0	25	295	1512	114	-1	
4	1	2	1	1	0	25	295	1512	114	-1	
5	1	2	1	1	1	25	295	1004	114	90	893.113Airplanes/3:
5	1	2	1	1	2	1070	295	467	114	96	Telegram
