level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2090	506	-1	
2	1	1	0	0	0	22	48	2048	448	-1	
3	1	1	1	0	0	22	48	2048	448	-1	
4	1	1	1	1	0	22	48	722	130	-1	
5	1	1	1	1	1	22	48	94	76	94	22
5	1	1	1	1	2	149	72	187	85	96	Not
5	1	1	1	1	3	368	55	376	123	96	printed.
4	1	1	1	2	0	26	210	992	128	-1	
5	1	1	1	2	1	26	210	94	76	93	23
5	1	1	1	2	2	155	229	357	109	96	Chiang
5	1	1	1	2	3	545	211	473	98	96	Kai-shek.
4	1	1	1	3	0	30	346	2040	150	-1	
5	1	1	1	3	1	30	366	94	76	91	24
5	1	1	1	3	2	155	388	393	108	95	Foreign
5	1	1	1	3	3	585	375	495	97	96	Relations,
5	1	1	1	3	4	1129	364	263	100	96	1925,
5	1	1	1	3	5	1432	354	182	91	77	vol.
5	1	1	1	3	6	1629	342	221	126	0	;,_.p.
5	1	1	1	3	7	1849	342	221	126	91	760.
2	1	2	0	0	0	1402	444	270	19	-1	
3	1	2	1	0	0	1402	444	270	19	-1	
4	1	2	1	1	0	1402	444	270	19	-1	
5	1	2	1	1	1	1402	444	270	19	95	 
2	1	3	0	0	0	1090	452	272	19	-1	
3	1	3	1	0	0	1090	452	272	19	-1	
4	1	3	1	1	0	1090	452	272	19	-1	
5	1	3	1	1	1	1090	452	272	19	95	 
2	1	4	0	0	0	488	460	570	27	-1	
3	1	4	1	0	0	488	460	570	27	-1	
4	1	4	1	1	0	488	460	570	27	-1	
5	1	4	1	1	1	488	460	570	27	95	 
