level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3878	362	-1	
2	1	1	0	0	0	2816	0	554	59	-1	
3	1	1	1	0	0	2816	0	554	59	-1	
4	1	1	1	1	0	2816	0	554	59	-1	
5	1	1	1	1	1	2816	0	87	59	90	Ly
5	1	1	1	1	2	2946	0	80	30	52	BRL
5	1	1	1	1	3	3062	0	145	23	18	64440
5	1	1	1	1	4	3214	0	12	34	39	0
5	1	1	1	1	5	3242	0	128	10	42	000
2	1	2	0	0	0	1528	0	1284	151	-1	
3	1	2	1	0	0	1528	0	1284	151	-1	
4	1	2	1	1	0	1528	0	1284	151	-1	
5	1	2	1	1	1	1528	74	52	77	92	y
5	1	2	1	1	2	1614	66	83	57	96	as
5	1	2	1	1	3	1727	52	81	62	96	to
5	1	2	1	1	4	1839	28	128	79	96	the
5	1	2	1	1	5	2002	0	610	94	87	Government
5	1	2	1	1	6	2545	0	82	98	85	s
5	1	2	1	1	7	2644	0	168	74	24	por
2	1	3	0	0	0	342	53	1185	166	-1	
3	1	3	1	0	0	342	53	1185	166	-1	
4	1	3	1	1	0	342	53	1185	166	-1	
5	1	3	1	1	1	342	125	141	85	92	uld
5	1	3	1	1	2	514	105	438	114	96	appreciate
5	1	3	1	1	3	987	108	100	58	95	an
5	1	3	1	1	4	1116	70	212	99	93	early
5	1	3	1	1	5	1359	53	168	104	84	repl
2	1	4	0	0	0	21	139	3836	98	-1	
3	1	4	1	0	0	21	141	3837	92	-1	
4	1	4	1	1	0	21	141	318	91	-1	
5	1	4	1	1	1	21	158	74	74	90	9.
5	1	4	1	1	2	130	151	33	74	0	I
5	1	4	1	1	3	194	141	145	80	0	sho
4	1	4	1	2	0	3391	139	466	98	-1	
5	1	4	1	2	1	3391	139	466	98	65	MacMurray
